inventory_id,store_id,sku_id,inventory_date,expected_stock,actual_stock,stock_status
INV000001,S001,SKU0001,2026-06-01,98,87,In Stock
INV000002,S001,SKU0002,2026-06-01,59,28,In Stock
INV000003,S001,SKU0003,2026-06-01,69,31,In Stock
INV000004,S001,SKU0004,2026-06-01,76,72,In Stock
INV000005,S001,SKU0005,2026-06-01,48,37,In Stock
INV000006,S001,SKU0006,2026-06-01,48,26,In Stock
INV000007,S001,SKU0007,2026-06-01,79,58,In Stock
INV000008,S001,SKU0008,2026-06-01,39,11,In Stock
INV000009,S001,SKU0009,2026-06-01,89,67,In Stock
INV000010,S001,SKU0010,2026-06-01,52,30,In Stock
INV000011,S001,SKU0011,2026-06-01,76,73,In Stock
INV000012,S001,SKU0012,2026-06-01,27,17,In Stock
INV000013,S001,SKU0013,2026-06-01,68,67,In Stock
INV000014,S001,SKU0014,2026-06-01,50,39,In Stock
INV000015,S001,SKU0015,2026-06-01,99,61,In Stock
INV000016,S001,SKU0016,2026-06-01,46,7,Low Stock
INV000017,S001,SKU0017,2026-06-01,80,59,In Stock
INV000018,S001,SKU0018,2026-06-01,46,39,In Stock
INV000019,S001,SKU0019,2026-06-01,77,40,In Stock
INV000020,S001,SKU0020,2026-06-01,63,44,In Stock
INV000021,S001,SKU0021,2026-06-01,83,80,In Stock
INV000022,S001,SKU0022,2026-06-01,73,38,In Stock
INV000023,S001,SKU0023,2026-06-01,87,80,In Stock
INV000024,S001,SKU0024,2026-06-01,96,65,In Stock
INV000025,S001,SKU0025,2026-06-01,37,7,Low Stock
INV000026,S001,SKU0026,2026-06-01,33,16,In Stock
INV000027,S001,SKU0027,2026-06-01,33,30,In Stock
INV000028,S001,SKU0028,2026-06-01,53,44,In Stock
INV000029,S001,SKU0029,2026-06-01,52,49,In Stock
INV000030,S001,SKU0030,2026-06-01,31,8,In Stock
INV000031,S001,SKU0031,2026-06-01,30,0,Out of Stock
INV000032,S001,SKU0032,2026-06-01,83,62,In Stock
INV000033,S001,SKU0033,2026-06-01,47,13,In Stock
INV000034,S001,SKU0034,2026-06-01,80,71,In Stock
INV000035,S001,SKU0035,2026-06-01,21,0,Out of Stock
INV000036,S001,SKU0036,2026-06-01,21,0,Out of Stock
INV000037,S001,SKU0037,2026-06-01,54,46,In Stock
INV000038,S001,SKU0038,2026-06-01,68,52,In Stock
INV000039,S001,SKU0039,2026-06-01,61,43,In Stock
INV000040,S001,SKU0040,2026-06-01,98,67,In Stock
INV000041,S001,SKU0041,2026-06-01,49,39,In Stock
INV000042,S001,SKU0042,2026-06-01,71,59,In Stock
INV000043,S001,SKU0043,2026-06-01,58,56,In Stock
INV000044,S001,SKU0044,2026-06-01,72,47,In Stock
INV000045,S001,SKU0045,2026-06-01,73,38,In Stock
INV000046,S001,SKU0046,2026-06-01,39,19,In Stock
INV000047,S001,SKU0047,2026-06-01,32,14,In Stock
INV000048,S001,SKU0048,2026-06-01,57,29,In Stock
INV000049,S001,SKU0049,2026-06-01,53,18,In Stock
INV000050,S001,SKU0050,2026-06-01,23,0,Out of Stock
INV000051,S001,SKU0051,2026-06-01,67,46,In Stock
INV000052,S001,SKU0052,2026-06-01,83,68,In Stock
INV000053,S001,SKU0053,2026-06-01,90,67,In Stock
INV000054,S001,SKU0054,2026-06-01,72,47,In Stock
INV000055,S001,SKU0055,2026-06-01,93,83,In Stock
INV000056,S001,SKU0056,2026-06-01,99,90,In Stock
INV000057,S001,SKU0057,2026-06-01,39,35,In Stock
INV000058,S001,SKU0058,2026-06-01,96,82,In Stock
INV000059,S001,SKU0059,2026-06-01,46,30,In Stock
INV000060,S001,SKU0060,2026-06-01,56,42,In Stock
INV000061,S001,SKU0061,2026-06-01,80,51,In Stock
INV000062,S001,SKU0062,2026-06-01,59,21,In Stock
INV000063,S001,SKU0063,2026-06-01,29,0,Out of Stock
INV000064,S001,SKU0064,2026-06-01,60,26,In Stock
INV000065,S001,SKU0065,2026-06-01,43,4,Low Stock
INV000066,S001,SKU0066,2026-06-01,98,90,In Stock
INV000067,S001,SKU0067,2026-06-01,53,46,In Stock
INV000068,S001,SKU0068,2026-06-01,25,6,In Stock
INV000069,S001,SKU0069,2026-06-01,45,30,In Stock
INV000070,S001,SKU0070,2026-06-01,66,50,In Stock
INV000071,S001,SKU0071,2026-06-01,62,58,In Stock
INV000072,S001,SKU0072,2026-06-01,87,51,In Stock
INV000073,S001,SKU0073,2026-06-01,44,34,In Stock
INV000074,S001,SKU0074,2026-06-01,66,27,In Stock
INV000075,S001,SKU0075,2026-06-01,94,61,In Stock
INV000076,S001,SKU0076,2026-06-01,69,34,In Stock
INV000077,S001,SKU0077,2026-06-01,89,83,In Stock
INV000078,S001,SKU0078,2026-06-01,35,14,In Stock
INV000079,S001,SKU0079,2026-06-01,31,26,In Stock
INV000080,S001,SKU0080,2026-06-01,21,7,In Stock
INV000081,S001,SKU0081,2026-06-01,27,17,In Stock
INV000082,S001,SKU0082,2026-06-01,42,6,Low Stock
INV000083,S001,SKU0083,2026-06-01,78,60,In Stock
INV000084,S001,SKU0084,2026-06-01,62,43,In Stock
INV000085,S001,SKU0085,2026-06-01,24,20,In Stock
INV000086,S001,SKU0086,2026-06-01,35,0,Out of Stock
INV000087,S001,SKU0087,2026-06-01,21,0,Out of Stock
INV000088,S001,SKU0088,2026-06-01,52,44,In Stock
INV000089,S001,SKU0089,2026-06-01,32,0,Out of Stock
INV000090,S001,SKU0090,2026-06-01,97,65,In Stock
INV000091,S001,SKU0091,2026-06-01,77,53,In Stock
INV000092,S001,SKU0092,2026-06-01,68,56,In Stock
INV000093,S001,SKU0093,2026-06-01,60,43,In Stock
INV000094,S001,SKU0094,2026-06-01,62,27,In Stock
INV000095,S001,SKU0095,2026-06-01,33,0,Out of Stock
INV000096,S001,SKU0096,2026-06-01,67,44,In Stock
INV000097,S001,SKU0097,2026-06-01,87,52,In Stock
INV000098,S001,SKU0098,2026-06-01,66,64,In Stock
INV000099,S001,SKU0099,2026-06-01,94,69,In Stock
INV000100,S001,SKU0100,2026-06-01,63,57,In Stock
INV000101,S001,SKU0101,2026-06-01,75,42,In Stock
INV000102,S001,SKU0102,2026-06-01,85,68,In Stock
INV000103,S001,SKU0103,2026-06-01,89,57,In Stock
INV000104,S001,SKU0104,2026-06-01,28,4,Low Stock
INV000105,S001,SKU0105,2026-06-01,87,57,In Stock
INV000106,S001,SKU0106,2026-06-01,22,14,In Stock
INV000107,S001,SKU0107,2026-06-01,71,65,In Stock
INV000108,S001,SKU0108,2026-06-01,44,5,Low Stock
INV000109,S001,SKU0109,2026-06-01,39,19,In Stock
INV000110,S001,SKU0110,2026-06-01,51,51,In Stock
INV000111,S001,SKU0111,2026-06-01,80,52,In Stock
INV000112,S001,SKU0112,2026-06-01,75,51,In Stock
INV000113,S001,SKU0113,2026-06-01,92,60,In Stock
INV000114,S001,SKU0114,2026-06-01,30,0,Out of Stock
INV000115,S001,SKU0115,2026-06-01,85,64,In Stock
INV000116,S001,SKU0116,2026-06-01,33,1,Low Stock
INV000117,S001,SKU0117,2026-06-01,86,50,In Stock
