price_id,store_id,sku_id,audit_date,expected_price,displayed_price,price_status
PR000001,S001,SKU0001,2026-06-01,29.47,29.47,Correct
PR000002,S001,SKU0002,2026-06-01,468.87,468.87,Correct
PR000003,S001,SKU0003,2026-06-01,46.66,46.66,Correct
PR000004,S001,SKU0004,2026-06-01,342.34,342.34,Correct
PR000005,S001,SKU0005,2026-06-01,167.01,167.01,Correct
PR000006,S001,SKU0006,2026-06-01,384.97,384.97,Correct
PR000007,S001,SKU0007,2026-06-01,307.81,307.81,Correct
PR000008,S001,SKU0008,2026-06-01,155.67,155.67,Correct
PR000009,S001,SKU0009,2026-06-01,219.03,219.03,Correct
PR000010,S001,SKU0010,2026-06-01,271.41,271.41,Correct
PR000011,S001,SKU0011,2026-06-01,349.71,349.71,Correct
PR000012,S001,SKU0012,2026-06-01,23.5,23.5,Correct
PR000013,S001,SKU0013,2026-06-01,286.45,286.45,Correct
PR000014,S001,SKU0014,2026-06-01,79.33,79.33,Correct
PR000015,S001,SKU0015,2026-06-01,421.1,421.1,Correct
PR000016,S001,SKU0016,2026-06-01,199.0,199.0,Correct
PR000017,S001,SKU0017,2026-06-01,296.0,296.0,Correct
PR000018,S001,SKU0018,2026-06-01,215.19,215.19,Correct
PR000019,S001,SKU0019,2026-06-01,311.11,311.11,Correct
PR000020,S001,SKU0020,2026-06-01,499.25,499.25,Correct
PR000021,S001,SKU0021,2026-06-01,271.89,271.89,Correct
PR000022,S001,SKU0022,2026-06-01,263.8,263.8,Correct
PR000023,S001,SKU0023,2026-06-01,93.28,93.28,Correct
PR000024,S001,SKU0024,2026-06-01,439.76,439.76,Correct
PR000025,S001,SKU0025,2026-06-01,355.44,355.44,Correct
PR000026,S001,SKU0026,2026-06-01,139.2,139.2,Correct
PR000027,S001,SKU0027,2026-06-01,65.88,65.88,Correct
PR000028,S001,SKU0028,2026-06-01,393.5,393.5,Correct
PR000029,S001,SKU0029,2026-06-01,385.3,385.3,Correct
PR000030,S001,SKU0030,2026-06-01,376.72,376.72,Correct
PR000031,S001,SKU0031,2026-06-01,67.83,67.83,Correct
PR000032,S001,SKU0032,2026-06-01,215.17,215.17,Correct
PR000033,S001,SKU0033,2026-06-01,212.35,212.35,Correct
PR000034,S001,SKU0034,2026-06-01,436.99,436.99,Correct
PR000035,S001,SKU0035,2026-06-01,349.55,349.55,Correct
PR000036,S001,SKU0036,2026-06-01,114.39,114.39,Correct
PR000037,S001,SKU0037,2026-06-01,226.19,226.19,Correct
PR000038,S001,SKU0038,2026-06-01,100.05,100.05,Correct
PR000039,S001,SKU0039,2026-06-01,290.65,290.65,Correct
PR000040,S001,SKU0040,2026-06-01,134.2,134.2,Correct
PR000041,S001,SKU0041,2026-06-01,290.75,290.75,Correct
PR000042,S001,SKU0042,2026-06-01,406.84,406.84,Correct
PR000043,S001,SKU0043,2026-06-01,424.2,424.2,Correct
PR000044,S001,SKU0044,2026-06-01,125.31,125.31,Correct
PR000045,S001,SKU0045,2026-06-01,23.78,23.78,Correct
PR000046,S001,SKU0046,2026-06-01,308.75,308.75,Correct
PR000047,S001,SKU0047,2026-06-01,112.89,118.89,Mismatch
PR000048,S001,SKU0048,2026-06-01,369.22,376.22,Mismatch
PR000049,S001,SKU0049,2026-06-01,443.58,443.58,Correct
PR000050,S001,SKU0050,2026-06-01,107.87,107.87,Correct
PR000051,S001,SKU0051,2026-06-01,352.15,340.15,Mismatch
PR000052,S001,SKU0052,2026-06-01,118.05,118.05,Correct
PR000053,S001,SKU0053,2026-06-01,115.14,115.14,Correct
