audit_id,audit_date,store_id,sku_id,expected_qty,detected_qty,visibility_score,shelf_compliance,audit_issue
AUD000001,2026-06-01,S001,SKU0001,39,35,89.74,Compliant,None
AUD000002,2026-06-01,S001,SKU0002,23,17,73.91,Compliant,None
AUD000003,2026-06-01,S001,SKU0003,32,14,43.75,Non-Compliant,Low Visibility
AUD000004,2026-06-01,S001,SKU0004,21,4,19.05,Non-Compliant,Low Visibility
AUD000005,2026-06-01,S001,SKU0005,22,16,72.73,Compliant,None
AUD000006,2026-06-01,S001,SKU0006,25,11,44.0,Non-Compliant,Low Visibility
AUD000007,2026-06-01,S001,SKU0007,20,20,100.0,Compliant,None
AUD000008,2026-06-01,S001,SKU0008,24,24,100.0,Compliant,None
AUD000009,2026-06-01,S001,SKU0009,16,0,0.0,Non-Compliant,Stock Out
AUD000010,2026-06-01,S001,SKU0010,25,16,64.0,Compliant,None
AUD000011,2026-06-01,S001,SKU0011,39,34,87.18,Compliant,None
AUD000012,2026-06-01,S001,SKU0012,19,8,42.11,Non-Compliant,Low Visibility
AUD000013,2026-06-01,S001,SKU0013,23,22,95.65,Compliant,None
AUD000014,2026-06-01,S001,SKU0014,39,23,58.97,Non-Compliant,Misplaced Product
AUD000015,2026-06-01,S001,SKU0015,31,31,100.0,Compliant,None
AUD000016,2026-06-01,S001,SKU0016,37,19,51.35,Compliant,None
AUD000017,2026-06-01,S001,SKU0017,26,10,38.46,Non-Compliant,Low Visibility
AUD000018,2026-06-01,S001,SKU0018,23,17,73.91,Compliant,None
AUD000019,2026-06-01,S001,SKU0019,25,21,84.0,Compliant,None
AUD000020,2026-06-01,S001,SKU0020,37,19,51.35,Compliant,None
AUD000021,2026-06-01,S001,SKU0021,38,25,65.79,Compliant,None
AUD000022,2026-06-01,S001,SKU0022,13,0,0.0,Non-Compliant,Stock Out
AUD000023,2026-06-01,S001,SKU0023,22,13,59.09,Compliant,None
AUD000024,2026-06-01,S001,SKU0024,28,12,42.86,Non-Compliant,Low Visibility
AUD000025,2026-06-01,S001,SKU0025,27,11,40.74,Non-Compliant,Low Visibility
AUD000026,2026-06-01,S001,SKU0026,33,29,87.88,Compliant,None
AUD000027,2026-06-01,S001,SKU0027,33,29,87.88,Compliant,None
AUD000028,2026-06-01,S001,SKU0028,36,24,66.67,Compliant,None
AUD000029,2026-06-01,S001,SKU0029,11,3,27.27,Non-Compliant,Low Visibility
AUD000030,2026-06-01,S001,SKU0030,10,10,100.0,Compliant,None
AUD000031,2026-06-01,S001,SKU0031,18,3,16.67,Non-Compliant,Low Visibility
AUD000032,2026-06-01,S001,SKU0032,32,13,40.62,Non-Compliant,Low Visibility
AUD000033,2026-06-01,S001,SKU0033,31,15,48.39,Non-Compliant,Low Visibility
AUD000034,2026-06-01,S001,SKU0034,34,25,73.53,Compliant,None
AUD000035,2026-06-01,S001,SKU0035,30,14,46.67,Non-Compliant,Low Visibility
AUD000036,2026-06-01,S001,SKU0036,31,24,77.42,Compliant,None
AUD000037,2026-06-01,S001,SKU0037,34,28,82.35,Compliant,None
AUD000038,2026-06-01,S001,SKU0038,34,16,47.06,Non-Compliant,Low Visibility
AUD000039,2026-06-01,S001,SKU0039,16,11,68.75,Compliant,None
AUD000040,2026-06-01,S001,SKU0040,39,35,89.74,Compliant,None
AUD000041,2026-06-01,S001,SKU0041,14,8,57.14,Compliant,None
AUD000042,2026-06-01,S001,SKU0042,10,6,60.0,Compliant,None
AUD000043,2026-06-01,S001,SKU0043,25,14,56.0,Compliant,None
AUD000044,2026-06-01,S001,SKU0044,33,21,63.64,Compliant,None
AUD000045,2026-06-01,S001,SKU0045,16,6,37.5,Non-Compliant,Low Visibility
AUD000046,2026-06-01,S001,SKU0046,22,22,100.0,Compliant,None
AUD000047,2026-06-01,S001,SKU0047,39,31,79.49,Compliant,None
AUD000048,2026-06-01,S001,SKU0048,35,20,57.14,Compliant,None
AUD000049,2026-06-01,S001,SKU0049,30,25,83.33,Compliant,None
AUD000050,2026-06-01,S001,SKU0050,37,25,67.57,Compliant,None
AUD000051,2026-06-01,S001,SKU0051,23,6,26.09,Non-Compliant,Low Visibility
AUD000052,2026-06-01,S001,SKU0052,10,0,0.0,Non-Compliant,Stock Out
AUD000053,2026-06-01,S001,SKU0053,30,30,100.0,Compliant,None
AUD000054,2026-06-01,S001,SKU0054,13,7,53.85,Compliant,None
AUD000055,2026-06-01,S001,SKU0055,26,13,50.0,Compliant,None
AUD000056,2026-06-01,S001,SKU0056,24,21,87.5,Compliant,None
AUD000057,2026-06-01,S001,SKU0057,15,0,0.0,Non-Compliant,Stock Out
AUD000058,2026-06-01,S001,SKU0058,17,2,11.76,Non-Compliant,Low Visibility
