"sku_id","product_name","brand","category","unit_price"
"SKU0256","Lizol Product 256","Lizol","Household",21.78
"SKU0192","Harpic Product 192","Harpic","Household",209.95
"SKU0123","Nivea Product 123","Nivea","Personal Care",421.03
"SKU0096","Doritos Product 96","Doritos","Snacks",60.11
"SKU0272","Modern Product 272","Modern","Bakery",170.44
"SKU0076","Nivea Product 76","Nivea","Personal Care",42.39
"SKU0475","Harvest Gold Product 475","Harvest Gold","Bakery",110.34
"SKU0442","Pepsi Product 442","Pepsi","Beverages",45.70
"SKU0267","Britannia Product 267","Britannia","Dairy",51.75
"SKU0263","Fanta Product 263","Fanta","Beverages",456.52
"SKU0301","Surf Excel Product 301","Surf Excel","Household",181.13
"SKU0422","Amul Product 422","Amul","Dairy",222.65
"SKU0344","Ariel Product 344","Ariel","Household",283.35
"SKU0493","Sprite Product 493","Sprite","Beverages",367.23
"SKU0087","Britannia Product 87","Britannia","Bakery",233.28
"SKU0468","Bingo Product 468","Bingo","Snacks",452.61
"SKU0418","Nivea Product 418","Nivea","Personal Care",108.21
"SKU0234","Bingo Product 234","Bingo","Snacks",120.57
"SKU0147","Pringles Product 147","Pringles","Snacks",69.25
"SKU0496","Harpic Product 496","Harpic","Household",202.26
"SKU0320","Sprite Product 320","Sprite","Beverages",252.05
"SKU0436","Nestle Product 436","Nestle","Dairy",73.28
"SKU0444","Pringles Product 444","Pringles","Snacks",166.88
"SKU0220","Coca Cola Product 220","Coca Cola","Beverages",418.65
"SKU0102","Amul Product 102","Amul","Dairy",467.60
"SKU0421","Nivea Product 421","Nivea","Personal Care",30.88
"SKU0432","Lays Product 432","Lays","Snacks",105.94
"SKU0416","Pears Product 416","Pears","Personal Care",441.77
"SKU0217","Modern Product 217","Modern","Bakery",139.90
"SKU0028","Dettol Product 28","Dettol","Personal Care",393.50
"SKU0307","Surf Excel Product 307","Surf Excel","Household",82.79
"SKU0152","Harvest Gold Product 152","Harvest Gold","Bakery",336.94
"SKU0216","Nivea Product 216","Nivea","Personal Care",406.12
"SKU0052","Dettol Product 52","Dettol","Personal Care",118.05
"SKU0227","Modern Product 227","Modern","Bakery",42.01
"SKU0472","Lux Product 472","Lux","Personal Care",450.30
"SKU0409","Pringles Product 409","Pringles","Snacks",277.20
"SKU0447","Dove Product 447","Dove","Personal Care",280.73
"SKU0464","Modern Product 464","Modern","Bakery",464.76
"SKU0302","Nestle Product 302","Nestle","Dairy",443.35
"SKU0374","Pepsi Product 374","Pepsi","Beverages",66.93
"SKU0349","Harvest Gold Product 349","Harvest Gold","Bakery",185.45
"SKU0022","Mother Dairy Product 22","Mother Dairy","Dairy",263.80
"SKU0122","Harpic Product 122","Harpic","Household",422.52
"SKU0313","Lizol Product 313","Lizol","Household",448.12
"SKU0155","Modern Product 155","Modern","Bakery",151.35
"SKU0254","Bingo Product 254","Bingo","Snacks",295.70
"SKU0395","Lays Product 395","Lays","Snacks",211.89
