"audit_id","audit_date","store_id","sku_id","visibility_score","shelf_compliance","audit_issue"
"AUD000001","2026-06-01","S001","SKU0001",89.74,"Compliant","None"
"AUD000002","2026-06-01","S001","SKU0002",73.91,"Compliant","None"
"AUD000003","2026-06-01","S001","SKU0003",43.75,"Non-Compliant","Low Visibility"
"AUD000004","2026-06-01","S001","SKU0004",19.05,"Non-Compliant","Low Visibility"
"AUD000005","2026-06-01","S001","SKU0005",72.73,"Compliant","None"
"AUD000006","2026-06-01","S001","SKU0006",44.00,"Non-Compliant","Low Visibility"
"AUD000007","2026-06-01","S001","SKU0007",100.00,"Compliant","None"
"AUD000008","2026-06-01","S001","SKU0008",100.00,"Compliant","None"
"AUD000009","2026-06-01","S001","SKU0009",0.00,"Non-Compliant","Stock Out"
"AUD000010","2026-06-01","S001","SKU0010",64.00,"Compliant","None"
"AUD000011","2026-06-01","S001","SKU0011",87.18,"Compliant","None"
"AUD000012","2026-06-01","S001","SKU0012",42.11,"Non-Compliant","Low Visibility"
"AUD000013","2026-06-01","S001","SKU0013",95.65,"Compliant","None"
"AUD000014","2026-06-01","S001","SKU0014",58.97,"Non-Compliant","Misplaced Product"
"AUD000015","2026-06-01","S001","SKU0015",100.00,"Compliant","None"
"AUD000016","2026-06-01","S001","SKU0016",51.35,"Compliant","None"
"AUD000017","2026-06-01","S001","SKU0017",38.46,"Non-Compliant","Low Visibility"
"AUD000018","2026-06-01","S001","SKU0018",73.91,"Compliant","None"
"AUD000019","2026-06-01","S001","SKU0019",84.00,"Compliant","None"
"AUD000020","2026-06-01","S001","SKU0020",51.35,"Compliant","None"
"AUD000021","2026-06-01","S001","SKU0021",65.79,"Compliant","None"
"AUD000022","2026-06-01","S001","SKU0022",0.00,"Non-Compliant","Stock Out"
"AUD000023","2026-06-01","S001","SKU0023",59.09,"Compliant","None"
"AUD000024","2026-06-01","S001","SKU0024",42.86,"Non-Compliant","Low Visibility"
"AUD000025","2026-06-01","S001","SKU0025",40.74,"Non-Compliant","Low Visibility"
"AUD000026","2026-06-01","S001","SKU0026",87.88,"Compliant","None"
"AUD000027","2026-06-01","S001","SKU0027",87.88,"Compliant","None"
"AUD000028","2026-06-01","S001","SKU0028",66.67,"Compliant","None"
"AUD000029","2026-06-01","S001","SKU0029",27.27,"Non-Compliant","Low Visibility"
"AUD000030","2026-06-01","S001","SKU0030",100.00,"Compliant","None"
"AUD000031","2026-06-01","S001","SKU0031",16.67,"Non-Compliant","Low Visibility"
"AUD000032","2026-06-01","S001","SKU0032",40.62,"Non-Compliant","Low Visibility"
"AUD000033","2026-06-01","S001","SKU0033",48.39,"Non-Compliant","Low Visibility"
"AUD000034","2026-06-01","S001","SKU0034",73.53,"Compliant","None"
"AUD000035","2026-06-01","S001","SKU0035",46.67,"Non-Compliant","Low Visibility"
"AUD000036","2026-06-01","S001","SKU0036",77.42,"Compliant","None"
"AUD000037","2026-06-01","S001","SKU0037",82.35,"Compliant","None"
"AUD000038","2026-06-01","S001","SKU0038",47.06,"Non-Compliant","Low Visibility"
"AUD000039","2026-06-01","S001","SKU0039",68.75,"Compliant","None"
"AUD000040","2026-06-01","S001","SKU0040",89.74,"Compliant","None"
"AUD000041","2026-06-01","S001","SKU0041",57.14,"Compliant","None"
"AUD000042","2026-06-01","S001","SKU0042",60.00,"Compliant","None"
"AUD000043","2026-06-01","S001","SKU0043",56.00,"Compliant","None"
"AUD000044","2026-06-01","S001","SKU0044",63.64,"Compliant","None"
"AUD000045","2026-06-01","S001","SKU0045",37.50,"Non-Compliant","Low Visibility"
"AUD000046","2026-06-01","S001","SKU0046",100.00,"Compliant","None"
"AUD000047","2026-06-01","S001","SKU0047",79.49,"Compliant","None"
