audit_id,audit_date,store_id,sku_id,visibility_score,shelf_compliance,audit_issue
AUD000001,2026-06-01,S001,SKU0001,89.74,Compliant,Unknown
AUD000002,2026-06-01,S001,SKU0002,73.91,Compliant,Unknown
AUD000003,2026-06-01,S001,SKU0003,43.75,Non-Compliant,Low Visibility
AUD000004,2026-06-01,S001,SKU0004,19.05,Non-Compliant,Low Visibility
AUD000005,2026-06-01,S001,SKU0005,72.73,Compliant,Unknown
AUD000006,2026-06-01,S001,SKU0006,44.0,Non-Compliant,Low Visibility
AUD000007,2026-06-01,S001,SKU0007,100.0,Compliant,Unknown
AUD000008,2026-06-01,S001,SKU0008,100.0,Compliant,Unknown
AUD000009,2026-06-01,S001,SKU0009,0.0,Non-Compliant,Stock Out
AUD000010,2026-06-01,S001,SKU0010,64.0,Compliant,Unknown
AUD000011,2026-06-01,S001,SKU0011,87.18,Compliant,Unknown
AUD000012,2026-06-01,S001,SKU0012,42.11,Non-Compliant,Low Visibility
AUD000013,2026-06-01,S001,SKU0013,95.65,Compliant,Unknown
AUD000014,2026-06-01,S001,SKU0014,58.97,Non-Compliant,Misplaced Product
AUD000015,2026-06-01,S001,SKU0015,100.0,Compliant,Unknown
AUD000016,2026-06-01,S001,SKU0016,51.35,Compliant,Unknown
AUD000017,2026-06-01,S001,SKU0017,38.46,Non-Compliant,Low Visibility
AUD000018,2026-06-01,S001,SKU0018,73.91,Compliant,Unknown
AUD000019,2026-06-01,S001,SKU0019,84.0,Compliant,Unknown
AUD000020,2026-06-01,S001,SKU0020,51.35,Compliant,Unknown
AUD000021,2026-06-01,S001,SKU0021,65.79,Compliant,Unknown
AUD000022,2026-06-01,S001,SKU0022,0.0,Non-Compliant,Stock Out
AUD000023,2026-06-01,S001,SKU0023,59.09,Compliant,Unknown
AUD000024,2026-06-01,S001,SKU0024,42.86,Non-Compliant,Low Visibility
AUD000025,2026-06-01,S001,SKU0025,40.74,Non-Compliant,Low Visibility
AUD000026,2026-06-01,S001,SKU0026,87.88,Compliant,Unknown
AUD000027,2026-06-01,S001,SKU0027,87.88,Compliant,Unknown
AUD000028,2026-06-01,S001,SKU0028,66.67,Compliant,Unknown
AUD000029,2026-06-01,S001,SKU0029,27.27,Non-Compliant,Low Visibility
AUD000030,2026-06-01,S001,SKU0030,100.0,Compliant,Unknown
AUD000031,2026-06-01,S001,SKU0031,16.67,Non-Compliant,Low Visibility
AUD000032,2026-06-01,S001,SKU0032,40.62,Non-Compliant,Low Visibility
AUD000033,2026-06-01,S001,SKU0033,48.39,Non-Compliant,Low Visibility
AUD000034,2026-06-01,S001,SKU0034,73.53,Compliant,Unknown
AUD000035,2026-06-01,S001,SKU0035,46.67,Non-Compliant,Low Visibility
AUD000036,2026-06-01,S001,SKU0036,77.42,Compliant,Unknown
AUD000037,2026-06-01,S001,SKU0037,82.35,Compliant,Unknown
AUD000038,2026-06-01,S001,SKU0038,47.06,Non-Compliant,Low Visibility
AUD000039,2026-06-01,S001,SKU0039,68.75,Compliant,Unknown
AUD000040,2026-06-01,S001,SKU0040,89.74,Compliant,Unknown
AUD000041,2026-06-01,S001,SKU0041,57.14,Compliant,Unknown
AUD000042,2026-06-01,S001,SKU0042,60.0,Compliant,Unknown
AUD000043,2026-06-01,S001,SKU0043,56.0,Compliant,Unknown
AUD000044,2026-06-01,S001,SKU0044,63.64,Compliant,Unknown
AUD000045,2026-06-01,S001,SKU0045,37.5,Non-Compliant,Low Visibility
AUD000046,2026-06-01,S001,SKU0046,100.0,Compliant,Unknown
AUD000047,2026-06-01,S001,SKU0047,79.49,Compliant,Unknown
AUD000048,2026-06-01,S001,SKU0048,57.14,Compliant,Unknown
AUD000049,2026-06-01,S001,SKU0049,83.33,Compliant,Unknown
AUD000050,2026-06-01,S001,SKU0050,67.57,Compliant,Unknown
AUD000051,2026-06-01,S001,SKU0051,26.09,Non-Compliant,Low Visibility
AUD000052,2026-06-01,S001,SKU0052,0.0,Non-Compliant,Stock Out
AUD000053,2026-06-01,S001,SKU0053,100.0,Compliant,Unknown
AUD000054,2026-06-01,S001,SKU0054,53.85,Compliant,Unknown
AUD000055,2026-06-01,S001,SKU0055,50.0,Compliant,Unknown
AUD000056,2026-06-01,S001,SKU0056,87.5,Compliant,Unknown
AUD000057,2026-06-01,S001,SKU0057,0.0,Non-Compliant,Stock Out
AUD000058,2026-06-01,S001,SKU0058,11.76,Non-Compliant,Low Visibility
AUD000059,2026-06-01,S001,SKU0059,54.55,Compliant,Unknown
AUD000060,2026-06-01,S001,SKU0060,50.0,Compliant,Unknown
AUD000061,2026-06-01,S001,SKU0061,42.86,Non-Compliant,Low Visibility
AUD000062,2026-06-01,S001,SKU0062,100.0,Compliant,Unknown
AUD000063,2026-06-01,S001,SKU0063,23.81,Non-Compliant,Low Visibility
AUD000064,2026-06-01,S001,SKU0064,0.0,Non-Compliant,Stock Out
AUD000065,2026-06-01,S001,SKU0065,53.57,Compliant,Unknown
AUD000066,2026-06-01,S001,SKU0066,76.92,Non-Compliant,Misplaced Product
AUD000067,2026-06-01,S001,SKU0067,51.61,Compliant,Unknown
AUD000068,2026-06-01,S001,SKU0068,29.63,Non-Compliant,Low Visibility
AUD000069,2026-06-01,S001,SKU0069,61.11,Compliant,Unknown
AUD000070,2026-06-01,S001,SKU0070,63.64,Compliant,Unknown
AUD000071,2026-06-01,S001,SKU0071,61.54,Compliant,Unknown
AUD000072,2026-06-01,S001,SKU0072,48.15,Non-Compliant,Low Visibility
AUD000073,2026-06-01,S001,SKU0073,71.43,Compliant,Unknown
AUD000074,2026-06-01,S001,SKU0074,41.38,Non-Compliant,Low Visibility
AUD000075,2026-06-01,S001,SKU0075,84.21,Compliant,Unknown
AUD000076,2026-06-01,S001,SKU0076,91.43,Compliant,Unknown
AUD000077,2026-06-01,S001,SKU0077,78.12,Compliant,Unknown
AUD000078,2026-06-01,S001,SKU0078,0.0,Non-Compliant,Stock Out
AUD000079,2026-06-01,S001,SKU0079,58.62,Non-Compliant,Misplaced Product
AUD000080,2026-06-01,S001,SKU0080,59.09,Compliant,Unknown
AUD000081,2026-06-01,S001,SKU0081,75.68,Compliant,Unknown
AUD000082,2026-06-01,S001,SKU0082,92.59,Compliant,Unknown
AUD000083,2026-06-01,S001,SKU0083,54.17,Compliant,Unknown
AUD001002,2026-06-01,S003,SKU0002,75.0,Compliant,Unknown
AUD000084,2026-06-01,S001,SKU0084,34.48,Non-Compliant,Low Visibility
AUD000085,2026-06-01,S001,SKU0085,71.43,Non-Compliant,Misplaced Product
AUD000086,2026-06-01,S001,SKU0086,42.31,Non-Compliant,Low Visibility
AUD000087,2026-06-01,S001,SKU0087,80.77,Compliant,Unknown
