inventory_id,store_id,sku_id,inventory_date,expected_stock,actual_stock,stock_status,stock_difference,stock_loss_percent,inventory_health,inventory_leakage
INV000001,S001,SKU0001,2026-06-01,98,87,In Stock,11,11.224489795918368,Shortage,11
INV000002,S001,SKU0002,2026-06-01,59,28,In Stock,31,52.54237288135594,Shortage,31
INV000003,S001,SKU0003,2026-06-01,69,31,In Stock,38,55.072463768115945,Shortage,38
INV000004,S001,SKU0004,2026-06-01,76,72,In Stock,4,5.263157894736842,Shortage,4
INV000005,S001,SKU0005,2026-06-01,48,37,In Stock,11,22.916666666666664,Shortage,11
INV000006,S001,SKU0006,2026-06-01,48,26,In Stock,22,45.83333333333333,Shortage,22
INV000007,S001,SKU0007,2026-06-01,79,58,In Stock,21,26.582278481012654,Shortage,21
INV000008,S001,SKU0008,2026-06-01,39,11,In Stock,28,71.7948717948718,Shortage,28
INV000009,S001,SKU0009,2026-06-01,89,67,In Stock,22,24.719101123595504,Shortage,22
INV000010,S001,SKU0010,2026-06-01,52,30,In Stock,22,42.30769230769231,Shortage,22
INV000011,S001,SKU0011,2026-06-01,76,73,In Stock,3,3.9473684210526314,Shortage,3
INV000012,S001,SKU0012,2026-06-01,27,17,In Stock,10,37.03703703703704,Shortage,10
INV000013,S001,SKU0013,2026-06-01,68,67,In Stock,1,1.4705882352941175,Shortage,1
INV000014,S001,SKU0014,2026-06-01,50,39,In Stock,11,22.0,Shortage,11
INV000015,S001,SKU0015,2026-06-01,99,61,In Stock,38,38.38383838383838,Shortage,38
INV000016,S001,SKU0016,2026-06-01,46,7,Low Stock,39,84.78260869565217,Shortage,39
INV000017,S001,SKU0017,2026-06-01,80,59,In Stock,21,26.25,Shortage,21
INV000018,S001,SKU0018,2026-06-01,46,39,In Stock,7,15.217391304347828,Shortage,7
INV000019,S001,SKU0019,2026-06-01,77,40,In Stock,37,48.05194805194805,Shortage,37
INV000020,S001,SKU0020,2026-06-01,63,44,In Stock,19,30.158730158730158,Shortage,19
INV000021,S001,SKU0021,2026-06-01,83,80,In Stock,3,3.614457831325301,Shortage,3
INV000022,S001,SKU0022,2026-06-01,73,38,In Stock,35,47.94520547945205,Shortage,35
INV000023,S001,SKU0023,2026-06-01,87,80,In Stock,7,8.045977011494253,Shortage,7
INV000024,S001,SKU0024,2026-06-01,96,65,In Stock,31,32.29166666666667,Shortage,31
INV000025,S001,SKU0025,2026-06-01,37,7,Low Stock,30,81.08108108108108,Shortage,30
INV000026,S001,SKU0026,2026-06-01,33,16,In Stock,17,51.515151515151516,Shortage,17
INV000027,S001,SKU0027,2026-06-01,33,30,In Stock,3,9.090909090909092,Shortage,3
INV000028,S001,SKU0028,2026-06-01,53,44,In Stock,9,16.9811320754717,Shortage,9
INV000029,S001,SKU0029,2026-06-01,52,49,In Stock,3,5.769230769230769,Shortage,3
INV000030,S001,SKU0030,2026-06-01,31,8,In Stock,23,74.19354838709677,Shortage,23
INV000031,S001,SKU0031,2026-06-01,30,0,Out of Stock,30,100.0,Shortage,30
INV000032,S001,SKU0032,2026-06-01,83,62,In Stock,21,25.301204819277107,Shortage,21
INV000033,S001,SKU0033,2026-06-01,47,13,In Stock,34,72.3404255319149,Shortage,34
INV000034,S001,SKU0034,2026-06-01,80,71,In Stock,9,11.25,Shortage,9
INV000035,S001,SKU0035,2026-06-01,21,0,Out of Stock,21,100.0,Shortage,21
INV000036,S001,SKU0036,2026-06-01,21,0,Out of Stock,21,100.0,Shortage,21
INV000037,S001,SKU0037,2026-06-01,54,46,In Stock,8,14.814814814814813,Shortage,8
INV000038,S001,SKU0038,2026-06-01,68,52,In Stock,16,23.52941176470588,Shortage,16
INV000039,S001,SKU0039,2026-06-01,61,43,In Stock,18,29.508196721311474,Shortage,18
